zip,category,orig_lines,trunc_lines,trunc_ratio%,est_tokens,audio_name,sfx_calls,orig_coverage%,last_line,diagnosis
10abbe8f-2a2a-4977-91bc-e14db096939b.zip,SEVERE_TRUNCATION,2824,581,18.7,5973,AudioMgr,0,100.0,      if(!audioCtx){,Severely truncated (18.7%). Lost 2243 lines.
242e8011-6da1-4d95-949b-f063e380abc8.zip,SEVERE_TRUNCATION,10481,238,4.6,5693,none,0,100.0,.joystickBase.down .joystick,Severely truncated (4.6%). Lost 10243 lines.
65ec3008-c796-4dc6-b4b9-757c2ac89fec.zip,SEVERE_TRUNCATION,2086,618,30.2,6586,AudioMgr,0,100.0,        settings.,Severely truncated (30.2%). Lost 1468 lines.
68e66781-fa27-4428-8975-a4bbe404ce2c.zip,SEVERE_TRUNCATION,2073,641,26.8,5602,AudioManager,1,100.0,"    playSFX: playSFX,",Severely truncated (26.8%). Lost 1432 lines.
69b0cc1a-2d37-4e92-b259-59e44ed947de.zip,SEVERE_TRUNCATION,2558,740,26.4,5505,AudioMgr,0,100.0,var frontH,Severely truncated (26.4%). Lost 1818 lines.
7b32743a-9796-4801-a510-8d0593b3eab8.zip,UNKNOWN,1224,645,52.5,5833,AudioMgr,0,100.0,"pkgSpawn:toNum(""--",Could not determine failure cause.
7d787d9b-4ca1-4a54-afe2-a54d43e49a93.zip,SEVERE_TRUNCATION,1696,681,39.2,5667,AudioMgr,0,100.0,"        life:rand(240,",Severely truncated (39.2%). Lost 1015 lines.
8151ee07-fd1e-4e4c-abca-1bf333ea9eba.zip,SEVERE_TRUNCATION,5196,558,11.2,5356,none,0,100.0,      _sfxMasterGain = _audioCtx.createGain();,Severely truncated (11.2%). Lost 4638 lines.
870715b5-f7d2-4c47-b610-f22da632d099.zip,SEVERE_TRUNCATION,9065,578,5.9,5261,none,0,100.0,  </div>,Severely truncated (5.9%). Lost 8487 lines.
8900a19a-beb7-4c5f-b600-54346be208de.zip,SEVERE_TRUNCATION,4649,704,12.2,5792,AudioMgr,0,100.0,        uFoamColor: { value: new THREE.,Severely truncated (12.2%). Lost 3945 lines.
8A3A82B0-783E-4893-A3BE-2C16144FF1A8.zip,SEVERE_TRUNCATION,3140,607,20.4,6510,AudioMgr,0,100.0,        settings.treeSizeMin,Severely truncated (20.4%). Lost 2533 lines.
940B27E3-B7E7-4CFC-B446-4DB7D35EC4CB.zip,SEVERE_TRUNCATION,1931,460,24.7,5405,none,0,100.0,    'sfx_score_tick,Severely truncated (24.7%). Lost 1471 lines.
94a3cee8-d63e-4971-a7c6-f0f78e8acd12.zip,SEVERE_TRUNCATION,5504,487,9.3,5978,AudioMgr,0,100.0,  scoreR,Severely truncated (9.3%). Lost 5017 lines.
A3372EE2-3148-47F9-B3E2-B9E833B57F5F.zip,SEVERE_TRUNCATION,2209,691,28.3,6256,AudioMgr,1,100.0,      },Severely truncated (28.3%). Lost 1518 lines.
a45b144f-7e40-4ebe-a34a-7bc66251b24c.zip,SEVERE_TRUNCATION,1962,695,32.9,6210,AudioMgr,0,100.0,"      var s=Math.max(0.04, Math.min(0",Severely truncated (32.9%). Lost 1267 lines.
a8064d1e-f2b9-4c1e-9046-99be26e974ae.zip,SEVERE_TRUNCATION,2700,535,20.0,5723,AudioMgr,0,100.0,"        xhr.responseType = ""arraybuffer"";",Severely truncated (20.0%). Lost 2165 lines.
aa6dec5e-a58c-4aa8-afcb-f87095203e9e.zip,SEVERE_TRUNCATION,1658,490,32.1,6271,AudioMgr,0,100.0,        if (gl_FragColor.a < 0.,Severely truncated (32.1%). Lost 1168 lines.
ab0f1251-27b7-40b1-8e87-1eac7bec53f6.zip,SEVERE_TRUNCATION,3925,581,14.3,6155,none,0,100.0,        musicGain=musicCtx.create,Severely truncated (14.3%). Lost 3344 lines.
ab28c114-5eb7-4434-ab8b-658bd71544dd.zip,SEVERE_TRUNCATION,9117,539,6.1,5123,none,0,100.0,  0%{transform:translate3,Severely truncated (6.1%). Lost 8578 lines.
bb00756f-affb-486f-a2c7-bf9e15a15ffa.zip,SEVERE_TRUNCATION,4219,553,15.3,5897,AudioManager,0,100.0,    if(!(isFinite(s.speedMax) && s.speedMax>=0)) s.speedMax=38;,Severely truncated (15.3%). Lost 3666 lines.
cbbd0086-b296-4c71-9643-da319cd8c579.zip,SEVERE_TRUNCATION,1407,618,41.5,5638,AudioMgr,0,100.0,      var untilOff = onT - ph;,Severely truncated (41.5%). Lost 789 lines.
cbe9eea6-266f-4d53-b7b8-e7b8a039628f.zip,SEVERE_TRUNCATION,1529,677,45.7,6557,AudioMgr,0,100.0,        var t,Severely truncated (45.7%). Lost 852 lines.
cf657227-21d5-4503-8a2f-9ae0fa509cb8.zip,SEVERE_TRUNCATION,3661,671,16.7,6135,AudioMgr,0,100.0,          _currentBGM._gain = g;,Severely truncated (16.7%). Lost 2990 lines.
df288697-f6ca-4771-b6d5-85a1e7a137b9.zip,SEVERE_TRUNCATION,2327,361,20.8,6149,none,0,100.0,      w=,Severely truncated (20.8%). Lost 1966 lines.
e5f519e8-a083-4548-8638-da5274c20984.zip,UNKNOWN,833,652,82.2,5919,AudioManager,0,100.0,"    b.rot = b.rot*0.9 + clamp(b.vy/600, -0.6, 0.9)*0.1;",Could not determine failure cause.
eb842aed-9643-4efc-8dc5-75d763c1b068.zip,SEVERE_TRUNCATION,6265,674,8.1,5418,GameAudio,0,100.0,    if(_pendingBGM){,Severely truncated (8.1%). Lost 5591 lines.
f8c3e9cd-2acd-4e05-b432-8c35c26cfcd0.zip,SEVERE_TRUNCATION,2325,518,23.3,6156,AudioMgr,0,100.0,    tronCanvas.height,Severely truncated (23.3%). Lost 1807 lines.
f9faba08-ef6d-4d97-be9e-f138827a38b1.zip,SEVERE_TRUNCATION,3858,704,16.3,6272,none,0,100.0,"      skull:""assets/images/image-",Severely truncated (16.3%). Lost 3154 lines.
